,zeilen,zeichen
0,"Der Parlamentarische Rat hat am 23. Mai 1949 in Bonn am Rhein in öffentlicher Sitzung festgestellt, daß
",104
1,"das am 8. Mai des Jahres 1949 vom Parlamentarischen Rat beschlossene G r u n d g e s e t z f ü r d i e
",103
2,"B u n d e s r e p u b l i k D e u t s c h l a n d in der Woche vom 16. bis 22. Mai 1949 durch die Volksvertretungen von
",120
3,"mehr als Zweidritteln der beteiligten deutschen Länder angenommen worden ist.
",78
4,"Auf Grund dieser Feststellung hat der Parlamentarische Rat, vertreten durch seine Präsidenten, das Grundgesetz
",111
5,"ausgefertigt und verkündet.
",28
6,"Das Grundgesetz wird hiermit gemäß Artikel 145 Abs. 3 im Bundesgesetzblatt veröffentlicht:
",91
7,"Präambel 
",10
8,"
",1
9," 
",2
10,"
",1
11,"Im Bewußtsein seiner Verantwortung vor Gott und den Menschen,
",62
12,"von dem Willen beseelt, als gleichberechtigtes Glied in einem vereinten Europa
",79
13,"dem Frieden der Welt zu dienen, hat sich das Deutsche Volk kraft seiner
",72
14,"verfassungsgebenden Gewalt dieses Grundgesetz gegeben.
",55
15,"Die Deutschen in den Ländern Baden-Württemberg, Bayern, Berlin, Brandenburg,
",77
16,"Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen,
",64
17,"Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt,
",73
18,"Schleswig-Holstein und Thüringen haben in freier Selbstbestimmung die Einheit
",78
19,"und Freiheit Deutschlands vollendet. Damit gilt dieses Grundgesetz für das
",75
20,"gesamte Deutsche Volk.
",23
21,"
",1
22,"I.
",3
23,"Die Grundrechte
",16
24,"Art 1 
",7
25,"
",1
26," 
",2
27,"
",1
28,"(1) Die Würde des Menschen ist unantastbar. Sie zu achten und zu schützen ist Verpflichtung aller staatlichen
",110
29,"Gewalt.
",8
30,"(2) Das Deutsche Volk bekennt sich darum zu unverletzlichen und unveräußerlichen Menschenrechten als
",101
