,lines,chars,avg_word_length
0,"Der Parlamentarische Rat hat am 23. Mai 1949 in Bonn am Rhein in öffentlicher Sitzung festgestellt, daß",103,5.117647058823529
1,das am 8. Mai des Jahres 1949 vom Parlamentarischen Rat beschlossene G r u n d g e s e t z f ü r d i e,102,2.6785714285714284
2,B u n d e s r e p u b l i k D e u t s c h l a n d in der Woche vom 16. bis 22. Mai 1949 durch die Volksvertretungen von,119,2.1578947368421053
3,mehr als Zweidritteln der beteiligten deutschen Länder angenommen worden ist.,77,6.8
4,"Auf Grund dieser Feststellung hat der Parlamentarische Rat, vertreten durch seine Präsidenten, das Grundgesetz",110,6.928571428571429
5,ausgefertigt und verkündet.,27,8.333333333333334
6,Das Grundgesetz wird hiermit gemäß Artikel 145 Abs. 3 im Bundesgesetzblatt veröffentlicht:,90,6.583333333333333
7,Präambel ,9,9.0
8,,0,0.0
9, ,1,1.0
10,,0,0.0
11,"Im Bewußtsein seiner Verantwortung vor Gott und den Menschen,",61,5.888888888888889
12,"von dem Willen beseelt, als gleichberechtigtes Glied in einem vereinten Europa",78,6.181818181818182
13,"dem Frieden der Welt zu dienen, hat sich das Deutsche Volk kraft seiner",71,4.538461538461538
14,verfassungsgebenden Gewalt dieses Grundgesetz gegeben.,54,10.0
15,"Die Deutschen in den Ländern Baden-Württemberg, Bayern, Berlin, Brandenburg,",76,7.555555555555555
16,"Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen,",63,11.8
17,"Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt,",72,13.6
18,Schleswig-Holstein und Thüringen haben in freier Selbstbestimmung die Einheit,77,7.666666666666667
19,und Freiheit Deutschlands vollendet. Damit gilt dieses Grundgesetz für das,74,6.5
20,gesamte Deutsche Volk.,22,6.666666666666667
21,,0,0.0
22,I.,2,2.0
23,Die Grundrechte,15,7.0
24,Art 1 ,6,2.5
25,,0,0.0
26, ,1,1.0
27,,0,0.0
28,(1) Die Würde des Menschen ist unantastbar. Sie zu achten und zu schützen ist Verpflichtung aller staatlichen,109,5.470588235294118
29,Gewalt.,7,7.0
30,(2) Das Deutsche Volk bekennt sich darum zu unverletzlichen und unveräußerlichen Menschenrechten als,100,6.769230769230769
31,"Grundlage jeder menschlichen Gemeinschaft, des Friedens und der Gerechtigkeit in der Welt.",90,6.583333333333333
32,"(3) Die nachfolgenden Grundrechte binden Gesetzgebung, vollziehende Gewalt und Rechtsprechung als",97,7.909090909090909
33,unmittelbar geltendes Recht.,28,8.666666666666666
34,Art 2 ,6,2.5
35,,0,0.0
36, ,1,1.0
37,,0,0.0
38,- Seite 1 von 50 -,18,2.1666666666666665
39,,0,0.0
40,Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz,72,7.111111111111111
41,sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de,60,7.714285714285714
42,,0,0.0
